UF;COD_UF;CÓDI52;NOME;População;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educação
RO;11;1100015;Alta Floresta D'Oeste;25.578;0.641;0.657;0.763;0.526
RO;11;1100379;Alto Alegre dos Parecis;13.940;0.592;0.603;0.777;0.443
RO;11;1100403;Alto Paraíso;20.210;0.678;0.677;0.829;0.556
RO;11;1100346;Alvorada D'Oeste;17.063;0.643;0.654;0.763;0.534
RO;11;1100023;Ariquemes;104.401;0.702;0.716;0.806;0.600
RO;11;1100452;Buritis;37.838;0.672;0.666;0.815;0.558
RO;11;1100031;Cabixi;6.355;0.650;0.650;0.757;0.559
RO;11;1100601;Cacaulândia;6.367;0.646;0.664;0.801;0.506
RO;11;1100049;Cacoal;87.226;0.718;0.727;0.821;0.620
RO;11;1100700;Campo Novo de Rondônia;14.220;0.593;0.667;0.772;0.404
RO;11;1100809;Candeias do Jamari;24.155;0.649;0.652;0.819;0.512
RO;11;1100908;Castanheiras;3.617;0.658;0.650;0.803;0.547
RO;11;1100056;Cerejeiras;17.986;0.692;0.688;0.799;0.602
RO;11;1100924;Chupinguaia;10.129;0.652;0.659;0.820;0.514
RO;11;1100064;Colorado do Oeste;18.817;0.685;0.676;0.814;0.584
RO;11;1100072;Corumbiara;8.842;0.613;0.630;0.774;0.473
RO;11;1100080;Costa Marques;16.651;0.611;0.616;0.751;0.493
RO;11;1100940;Cujubim;20.974;0.612;0.663;0.789;0.439
RO;11;1100098;Espigão D'Oeste;32.385;0.672;0.691;0.819;0.536
RO;11;1101005;Governador Jorge Teixeira;10.127;0.596;0.627;0.762;0.444
RO;11;1100106;Guajará-Mirim;46.632;0.657;0.663;0.823;0.519
RO;11;1101104;Itapuã do Oeste;9.995;0.614;0.633;0.751;0.488
RO;11;1100114;Jaru;55.738;0.689;0.687;0.825;0.577
RO;11;1100122;Ji-Paraná;130.419;0.714;0.728;0.810;0.617
RO;11;1100130;Machadinho D'Oeste;37.167;0.596;0.629;0.755;0.446
RO;11;1101203;Ministro Andreazza;10.823;0.638;0.647;0.776;0.518
RO;11;1101302;Mirante da Serra;12.360;0.643;0.673;0.800;0.494
RO;11;1101401;Monte Negro;15.873;0.607;0.645;0.762;0.454
RO;11;1100148;Nova Brasilândia D'Oeste;21.592;0.643;0.664;0.763;0.524
RO;11;1100338;Nova Mamoré;27.600;0.587;0.619;0.769;0.424
RO;11;1101435;Nova União;7.824;0.662;0.624;0.818;0.568
RO;11;1100502;Novo Horizonte do Oeste;10.276;0.634;0.606;0.799;0.527
RO;11;1100155;Ouro Preto do Oeste;39.924;0.682;0.687;0.812;0.569
RO;11;1101450;Parecis;5.697;0.617;0.604;0.800;0.485
RO;11;1100189;Pimenta Bueno;37.512;0.710;0.726;0.803;0.613
RO;11;1101468;Pimenteiras do Oeste;2.424;0.665;0.662;0.816;0.545
RO;11;1100205;Porto Velho;502.748;0.736;0.764;0.819;0.638
RO;11;1100254;Presidente Médici;22.557;0.664;0.671;0.792;0.550
RO;11;1101476;Primavera de Rondônia;3.501;0.641;0.645;0.799;0.512
RO;11;1100262;Rio Crespo;3.750;0.643;0.637;0.813;0.513
RO;11;1100288;Rolim de Moura;56.242;0.700;0.709;0.808;0.598
RO;11;1100296;Santa Luzia D'Oeste;8.532;0.670;0.657;0.812;0.564
RO;11;1101484;São Felipe D'Oeste;6.103;0.649;0.615;0.780;0.571
RO;11;1101492;São Francisco do Guaporé;19.002;0.611;0.657;0.751;0.462
RO;11;1100320;São Miguel do Guaporé;23.933;0.646;0.644;0.781;0.537
RO;11;1101500;Seringueiras;12.581;0.598;0.644;0.779;0.427
RO;11;1101559;Teixeirópolis;5.003;0.643;0.653;0.818;0.498
RO;11;1101609;Theobroma;11.347;0.589;0.622;0.757;0.434
RO;11;1101708;Urupá;13.293;0.609;0.621;0.772;0.471
RO;11;1101757;Vale do Anari;10.843;0.584;0.626;0.756;0.421
RO;11;1101807;Vale do Paraíso;8.231;0.627;0.641;0.792;0.485
RO;11;1100304;Vilhena;91.801;0.731;0.734;0.808;0.659
AC;12;1200013;Acrelândia;13.869;0.604;0.584;0.808;0.466
AC;12;1200054;Assis Brasil;6.738;0.588;0.578;0.770;0.456
AC;12;1200104;Brasiléia;23.849;0.614;0.619;0.770;0.485
AC;12;1200138;Bujari;9.339;0.589;0.603;0.772;0.439
AC;12;1200179;Capixaba;10.498;0.575;0.601;0.794;0.398
AC;12;1200203;Cruzeiro do Sul;81.519;0.723;0.746;0.833;0.607
AC;12;1200252;Epitaciolândia;16.731;0.653;0.654;0.771;0.553
AC;12;1200302;Feijó;32.385;0.539;0.559;0.723;0.388
AC;12;1200328;Jordão;7.509;0.469;0.499;0.731;0.283
AC;12;1200336;Mâncio Lima;17.173;0.625;0.580;0.770;0.546
AC;12;1200344;Manoel Urbano;8.641;0.551;0.586;0.767;0.373
AC;12;1200351;Marechal Thaumaturgo;16.895;0.501;0.479;0.726;0.361
AC;12;1200385;Plácido de Castro;18.159;0.622;0.593;0.786;0.517
AC;12;1200807;Porto Acre;16.757;0.576;0.593;0.771;0.418
AC;12;1200393;Porto Walter;10.759;0.532;0.521;0.726;0.397
AC;12;1200401;Rio Branco;370.550;0.727;0.729;0.798;0.661
AC;12;1200427;Rodrigues Alves;16.974;0.567;0.518;0.736;0.477
AC;12;1200435;Santa Rosa do Purus;5.809;0.517;0.519;0.781;0.340
AC;12;1200500;Sena Madureira;41.750;0.603;0.593;0.810;0.456
AC;12;1200450;Senador Guiomard;21.182;0.640;0.649;0.786;0.513
AC;12;1200609;Tarauacá;38.819;0.539;0.554;0.720;0.392
AC;12;1200708;Xapuri;17.608;0.599;0.621;0.773;0.448
AM;13;1300029;Alvarães;15.545;0.527;0.499;0.778;0.377
AM;13;1300060;Amaturá;10.847;0.560;0.499;0.773;0.455
AM;13;1300086;Anamã;12.320;0.594;0.537;0.741;0.526
AM;13;1300102;Anori;19.292;0.561;0.540;0.757;0.433
AM;13;1300144;Apuí;20.648;0.637;0.621;0.772;0.540
AM;13;1300201;Atalaia do Norte;18.133;0.450;0.481;0.733;0.259
AM;13;1300300;Autazes;37.033;0.577;0.539;0.799;0.446
AM;13;1300409;Barcelos;27.433;0.500;0.545;0.728;0.315
AM;13;1300508;Barreirinha;30.658;0.574;0.469;0.774;0.522
AM;13;1300607;Benjamin Constant;39.484;0.574;0.526;0.763;0.471
AM;13;1300631;Beruri;18.171;0.506;0.512;0.731;0.346
AM;13;1300680;Boa Vista do Ramos;17.668;0.565;0.496;0.750;0.484
AM;13;1300706;Boca do Acre;33.498;0.588;0.576;0.777;0.455
AM;13;1300805;Borba;39.292;0.560;0.532;0.776;0.425
AM;13;1300839;Caapiranga;12.420;0.569;0.544;0.775;0.436
AM;13;1300904;Canutama;15.130;0.530;0.522;0.752;0.379
AM;13;1301001;Carauari;27.880;0.549;0.534;0.745;0.416
AM;13;1301100;Careiro;36.435;0.557;0.515;0.779;0.431
AM;13;1301159;Careiro da Várzea;27.981;0.568;0.523;0.779;0.450
AM;13;1301209;Coari;83.078;0.586;0.606;0.780;0.425
AM;13;1301308;Codajás;26.777;0.563;0.546;0.775;0.421
AM;13;1301407;Eirunepé;34.025;0.563;0.548;0.756;0.431
AM;13;1301506;Envira;18.786;0.509;0.521;0.727;0.349
AM;13;1301605;Fonte Boa;20.742;0.530;0.518;0.719;0.400
AM;13;1301654;Guajará;15.826;0.532;0.510;0.762;0.387
AM;13;1301704;Humaitá;51.302;0.738;0.732;0.837;0.657
AM;13;1301803;Ipixuna;26.860;0.481;0.476;0.772;0.302
AM;13;1301852;Iranduba;45.984;0.613;0.607;0.799;0.476
AM;13;1301902;Itacoatiara;97.122;0.644;0.618;0.811;0.534
AM;13;1301951;Itamarati;8.179;0.477;0.529;0.772;0.266
AM;13;1302009;Itapiranga;8.953;0.775;0.766;0.842;0.723
AM;13;1302108;Japurá;5.125;0.712;0.698;0.829;0.623
AM;13;1302207;Juruá;13.198;0.522;0.538;0.704;0.376
AM;13;1302306;Jutaí;16.585;0.516;0.528;0.766;0.340
AM;13;1302405;Lábrea;43.263;0.531;0.538;0.744;0.374
AM;13;1302504;Manacapuru;94.175;0.614;0.604;0.795;0.481
AM;13;1302553;Manaquiri;28.413;0.596;0.556;0.748;0.510
AM;13;1302603;Manaus;2.057.711;0.737;0.738;0.826;0.658
AM;13;1302702;Manicoré;53.053;0.582;0.580;0.747;0.456
AM;13;1302801;Maraã;18.423;0.498;0.466;0.763;0.348
AM;13;1302900;Maués;59.983;0.588;0.549;0.800;0.464
AM;13;1303007;Nhamundá;20.358;0.586;0.513;0.779;0.503
AM;13;1303106;Nova Olinda do Norte;35.156;0.558;0.541;0.780;0.412
AM;13;1303205;Novo Airão;17.671;0.570;0.551;0.776;0.434
AM;13;1303304;Novo Aripuanã;24.315;0.554;0.532;0.759;0.421
AM;13;1303403;Parintins;111.575;0.658;0.589;0.800;0.605
AM;13;1303502;Pauini;19.378;0.496;0.531;0.724;0.317
AM;13;1303536;Presidente Figueiredo;32.812;0.647;0.627;0.802;0.538
AM;13;1303569;Rio Preto da Eva;30.530;0.611;0.590;0.785;0.493
AM;13;1303601;Santa Isabel do Rio Negro;22.404;0.479;0.461;0.737;0.323
AM;13;1303700;Santo Antônio do Içá;23.688;0.490;0.438;0.759;0.353
AM;13;1303809;São Gabriel da Cachoeira;43.094;0.609;0.610;0.777;0.476
AM;13;1303908;São Paulo de Olivença;36.536;0.521;0.471;0.780;0.386
AM;13;1303957;São Sebastião do Uatumã;12.781;0.577;0.561;0.739;0.464
AM;13;1304005;Silves;9.081;0.632;0.546;0.791;0.584
AM;13;1304062;Tabatinga;61.028;0.704;0.700;0.818;0.609
AM;13;1304104;Tapauá;18.152;0.502;0.512;0.694;0.355
AM;13;1304203;Tefé;62.444;0.639;0.637;0.801;0.511
AM;13;1304237;Tonantins;18.478;0.548;0.508;0.779;0.416
AM;13;1304260;Uarini;13.121;0.527;0.535;0.724;0.378
AM;13;1304302;Urucará;17.163;0.620;0.551;0.754;0.575
AM;13;1304401;Urucurituba;21.140;0.588;0.538;0.776;0.487
RR;14;1400050;Alto Alegre;16.176;0.747;0.756;0.859;0.642
RR;14;1400027;Amajari;11.006;0.484;0.437;0.815;0.319
RR;14;1400100;Boa Vista;320.714;0.752;0.737;0.816;0.708
RR;14;1400159;Bonfim;11.739;0.637;0.669;0.834;0.464
RR;14;1400175;Cantá;16.149;0.619;0.581;0.803;0.509
RR;14;1400209;Caracaraí;20.261;0.624;0.601;0.780;0.518
RR;14;1400233;Caroebe;9.165;0.639;0.600;0.791;0.549
RR;14;1400282;Iracema;10.320;0.652;0.597;0.733;0.632
RR;14;1400308;Mucajaí;16.380;0.665;0.661;0.813;0.547
RR;14;1400407;Normandia;10.148;0.594;0.520;0.801;0.502
RR;14;1400456;Pacaraima;11.908;0.650;0.624;0.788;0.558
RR;14;1400472;Rorainópolis;27.288;0.619;0.574;0.798;0.519
RR;14;1400506;São João da Baliza;7.516;0.655;0.614;0.780;0.587
RR;14;1400605;São Luiz;7.407;0.649;0.605;0.788;0.574
RR;14;1400704;Uiramutã;9.488;0.453;0.439;0.766;0.276
PA;15;1500107;Abaetetuba;150.431;0.628;0.579;0.798;0.537
PA;15;1500131;Abel Figueiredo;7.126;0.622;0.625;0.800;0.481
PA;15;1500206;Acará;54.064;0.506;0.517;0.757;0.332
PA;15;1500305;Afuá;37.398;0.489;0.485;0.774;0.311
PA;15;1500347;Água Azul do Norte;26.305;0.564;0.563;0.797;0.399
PA;15;1500404;Alenquer;54.662;0.564;0.529;0.779;0.436
PA;15;1500503;Almeirim;33.372;0.642;0.659;0.809;0.497
PA;15;1500602;Altamira;108.382;0.665;0.662;0.811;0.548
PA;15;1500701;Anajás;27.540;0.484;0.506;0.774;0.290
PA;15;1500800;Ananindeua;505.404;0.718;0.684;0.821;0.658
PA;15;1500859;Anapu;25.414;0.548;0.563;0.788;0.371
PA;15;1500909;Augusto Corrêa;43.700;0.520;0.480;0.772;0.380
PA;15;1500958;Aurora do Pará;29.492;0.519;0.504;0.773;0.358
PA;15;1501006;Aveiro;15.953;0.541;0.470;0.748;0.450
PA;15;1501105;Bagre;28.292;0.471;0.481;0.777;0.280
PA;15;1501204;Baião;43.757;0.578;0.538;0.770;0.467
PA;15;1501253;Bannach;3.267;0.594;0.635;0.784;0.420
PA;15;1501303;Barcarena;115.779;0.662;0.643;0.801;0.564
PA;15;1501402;Belém;1.439.561;0.746;0.751;0.822;0.673
PA;15;1501451;Belterra;17.036;0.588;0.548;0.775;0.478
PA;15;1501501;Benevides;58.637;0.665;0.623;0.798;0.592
PA;15;1501576;Bom Jesus do Tocantins;16.227;0.660;0.621;0.833;0.555
PA;15;1501600;Bonito;15.282;0.670;0.714;0.831;0.508
PA;15;1501709;Bragança;121.528;0.600;0.589;0.755;0.486
PA;15;1501725;Brasil Novo;14.984;0.613;0.632;0.809;0.451
PA;15;1501758;Brejo Grande do Araguaia;7.232;0.591;0.588;0.743;0.473
PA;15;1501782;Breu Branco;61.222;0.568;0.555;0.781;0.422
PA;15;1501808;Breves;98.231;0.503;0.524;0.778;0.312
PA;15;1501907;Bujaru;27.689;0.552;0.495;0.779;0.437
PA;15;1502004;Cachoeira do Arari;22.449;0.546;0.525;0.778;0.398
PA;15;1501956;Cachoeira do Piriá;31.300;0.473;0.449;0.779;0.303
PA;15;1502103;Cametá;130.868;0.577;0.538;0.754;0.474
PA;15;1502152;Canaã dos Carajás;33.632;0.673;0.670;0.801;0.569
PA;15;1502202;Capanema;66.353;0.706;0.719;0.801;0.611
PA;15;1502301;Capitão Poço;52.693;0.548;0.573;0.747;0.385
PA;15;1502400;Castanhal;189.784;0.673;0.654;0.800;0.582
PA;15;1502509;Chaves;22.566;0.453;0.516;0.769;0.234
PA;15;1502608;Colares;11.682;0.602;0.541;0.763;0.528
PA;15;1502707;Conceição do Araguaia;46.395;0.640;0.631;0.770;0.540
PA;15;1502756;Concórdia do Pará;31.352;0.566;0.560;0.741;0.438
PA;15;1502764;Cumaru do Norte;12.423;0.550;0.635;0.795;0.330
PA;15;1502772;Curionópolis;17.709;0.636;0.592;0.809;0.536
PA;15;1502806;Curralinho;32.248;0.502;0.508;0.769;0.323
PA;15;1502855;Curuá;13.562;0.578;0.501;0.780;0.495
PA;15;1502905;Curuçá;37.800;0.582;0.542;0.758;0.480
PA;15;1502939;Dom Eliseu;56.398;0.615;0.606;0.763;0.502
PA;15;1502954;Eldorado dos Carajás;32.664;0.560;0.572;0.757;0.405
PA;15;1503002;Faro;7.333;0.563;0.501;0.756;0.470
PA;15;1503044;Floresta do Araguaia;19.261;0.583;0.573;0.792;0.437
PA;15;1503077;Garrafão do Norte;25.326;0.526;0.540;0.763;0.353
PA;15;1503093;Goianésia do Pará;37.975;0.560;0.585;0.743;0.404
PA;15;1503101;Gurupá;31.623;0.509;0.510;0.777;0.333
PA;15;1503200;Igarapé-Açu;37.333;0.595;0.579;0.743;0.490
PA;15;1503309;Igarapé-Miri;60.343;0.547;0.514;0.770;0.413
PA;15;1503408;Inhangapi;11.053;0.572;0.550;0.748;0.456
PA;15;1503457;Ipixuna do Pará;58.558;0.489;0.508;0.757;0.304
PA;15;1503507;Irituia;31.654;0.559;0.536;0.763;0.427
PA;15;1503606;Itaituba;98.446;0.640;0.644;0.800;0.510
PA;15;1503705;Itupiranga;51.775;0.528;0.543;0.746;0.364
PA;15;1503754;Jacareacanga;41.487(*);0.505;0.577;0.800;0.279
PA;15;1503804;Jacundá;56.006;0.622;0.628;0.752;0.509
PA;15;1503903;Juruti;53.989;0.592;0.547;0.756;0.501
PA;15;1504000;Limoeiro do Ajuru;27.368;0.541;0.493;0.754;0.425
PA;15;1504059;Mãe do Rio;28.959;0.599;0.615;0.763;0.458
PA;15;1504109;Magalhães Barata;8.279;0.597;0.524;0.801;0.507
PA;15;1504208;Marabá;262.085;0.668;0.673;0.785;0.564
PA;15;1504307;Maracanã;28.656;0.570;0.534;0.764;0.454
PA;15;1504406;Marapanim;27.368;0.609;0.570;0.760;0.521
PA;15;1504422;Marituba;122.916;0.676;0.621;0.793;0.628
PA;15;1504455;Medicilândia;29.887;0.582;0.605;0.800;0.408
PA;15;1504505;Melgaço;26.397;0.418;0.454;0.776;0.207
PA;15;1504604;Mocajuba;29.398;0.575;0.539;0.754;0.467
PA;15;1504703;Moju;77.385;0.547;0.578;0.757;0.375
PA;15;1504802;Monte Alegre;56.312;0.609;0.578;0.770;0.507
PA;15;1504901;Muaná;37.977;0.547;0.540;0.775;0.391
PA;15;1504950;Nova Esperança do Piriá;20.663;0.502;0.482;0.757;0.346
PA;15;1504976;Nova Ipixuna;15.836;0.581;0.590;0.766;0.435
PA;15;1505007;Nova Timboteua;14.635;0.609;0.564;0.791;0.507
PA;15;1505031;Novo Progresso;25.135;0.673;0.709;0.828;0.519
PA;15;1505064;Novo Repartimento;70.835;0.537;0.557;0.741;0.376
PA;15;1505106;Óbidos;50.459;0.594;0.556;0.756;0.499
PA;15;1505205;Oeiras do Pará;30.880;0.507;0.502;0.754;0.344
PA;15;1505304;Oriximiná;69.024;0.623;0.599;0.778;0.520
PA;15;1505403;Ourém;17.114;0.568;0.575;0.727;0.438
PA;15;1505437;Ourilândia do Norte;30.776;0.624;0.653;0.795;0.467
PA;15;1505486;Pacajá;44.778;0.515;0.541;0.746;0.338
PA;15;1505494;Palestina do Pará;7.424;0.589;0.574;0.761;0.467
PA;15;1505502;Paragominas;107.010;0.645;0.667;0.781;0.514
PA;15;1505536;Parauapebas;189.921;0.715;0.701;0.809;0.644
PA;15;1505551;Pau D'Arco;5.535;0.661;0.621;0.792;0.587
PA;15;1505601;Peixe-Boi;7.874;0.581;0.543;0.754;0.478
PA;15;1505635;Piçarra;12.675;0.563;0.561;0.792;0.402
PA;15;1505650;Placas;28.533;0.552;0.541;0.770;0.404
PA;15;1505700;Ponta de Pedras;29.160;0.562;0.558;0.773;0.412
PA;15;1505809;Portel;58.282;0.483;0.513;0.767;0.286
PA;15;1505908;Porto de Moz;38.471;0.503;0.512;0.770;0.322
PA;15;1506005;Prainha;29.200;0.523;0.512;0.779;0.359
PA;15;1506104;Primavera;10.485;0.580;0.572;0.767;0.444
PA;15;1506112;Quatipuru;13.044;0.543;0.550;0.732;0.397
PA;15;1506138;Redenção;80.797;0.672;0.674;0.804;0.561
PA;15;1506161;Rio Maria;17.738;0.638;0.651;0.804;0.495
PA;15;1506187;Rondon do Pará;49.977;0.602;0.606;0.788;0.457
PA;15;1506195;Rurópolis;46.804;0.548;0.548;0.764;0.392
PA;15;1506203;Salinópolis;39.078;0.647;0.628;0.798;0.541
PA;15;1506302;Salvaterra;22.370;0.608;0.580;0.793;0.488
PA;15;1506351;Santa Bárbara do Pará;19.645;0.627;0.575;0.784;0.546
PA;15;1506401;Santa Cruz do Arari;9.417;0.557;0.483;0.775;0.461
PA;15;1506500;Santa Isabel do Pará;66.490;0.659;0.622;0.798;0.576
PA;15;1506559;Santa Luzia do Pará;19.383;0.546;0.530;0.724;0.424
PA;15;1506583;Santa Maria das Barreiras;19.925;0.544;0.555;0.783;0.370
PA;15;1506609;Santa Maria do Pará;23.927;0.598;0.595;0.764;0.471
PA;15;1506708;Santana do Araguaia;67.033;0.602;0.591;0.774;0.478
PA;15;1506807;Santarém;292.520;0.691;0.632;0.807;0.648
PA;15;1506906;Santarém Novo;6.437;0.587;0.520;0.774;0.502
PA;15;1507003;Santo Antônio do Tauá;29.629;0.632;0.598;0.753;0.561
PA;15;1507102;São Caetano de Odivelas;17.420;0.585;0.552;0.767;0.473
PA;15;1507151;São Domingos do Araguaia;24.451;0.594;0.629;0.738;0.451
PA;15;1507201;São Domingos do Capim;30.847;0.532;0.509;0.773;0.382
PA;15;1507300;São Félix do Xingu;116.186;0.594;0.638;0.798;0.411
PA;15;1507409;São Francisco do Pará;15.380;0.608;0.571;0.785;0.502
PA;15;1507458;São Geraldo do Araguaia;24.607;0.595;0.594;0.793;0.447
PA;15;1507466;São João da Ponta;5.795;0.583;0.522;0.767;0.495
PA;15;1507474;São João de Pirabas;21.991;0.539;0.529;0.753;0.393
PA;15;1507508;São João do Araguaia;13.521;0.550;0.530;0.741;0.424
PA;15;1507607;São Miguel do Guamá;55.942;0.591;0.582;0.752;0.471
PA;15;1507706;São Sebastião da Boa Vista;25.161;0.558;0.520;0.760;0.439
PA;15;1507755;Sapucaia;5.587;0.675;0.682;0.804;0.561
PA;15;1507805;Senador José Porfírio;11.827;0.514;0.533;0.754;0.338
PA;15;1507904;Soure;24.286;0.615;0.583;0.760;0.525
PA;15;1507953;Tailândia;97.161;0.588;0.583;0.776;0.450
PA;15;1507961;Terra Alta;11.120;0.605;0.555;0.743;0.536
PA;15;1507979;Terra Santa;17.946;0.635;0.602;0.763;0.558
PA;15;1508001;Tomé-Açu;60.456;0.586;0.596;0.798;0.424
PA;15;1508035;Tracuateua;29.465;0.531;0.514;0.776;0.376
PA;15;1508050;Trairão;18.084;0.562;0.594;0.763;0.392
PA;15;1508084;Tucumã;37.308;0.659;0.670;0.813;0.525
PA;15;1508100;Tucuruí;107.189;0.666;0.675;0.800;0.548
PA;15;1508126;Ulianópolis;53.881;0.604;0.682;0.759;0.425
PA;15;1508159;Uruará;44.486;0.589;0.609;0.798;0.420
PA;15;1508209;Vigia;51.173;0.617;0.594;0.768;0.516
PA;15;1508308;Viseu;59.054;0.515;0.482;0.776;0.366
PA;15;1508357;Vitória do Xingu;14.407;0.596;0.594;0.792;0.451
PA;15;1508407;Xinguara;42.833;0.646;0.671;0.800;0.503
AP;16;1600105;Amapá;8.622;0.642;0.631;0.790;0.532
AP;16;1600204;Calçoene;10.163;0.643;0.636;0.759;0.550
AP;16;1600212;Cutias;5.407;0.628;0.576;0.760;0.566
AP;16;1600238;Ferreira Gomes;6.901;0.656;0.635;0.820;0.542
AP;16;1600253;Itaubal;4.949;0.576;0.528;0.758;0.477
AP;16;1600279;Laranjal do Jari;45.712;0.665;0.641;0.801;0.573
AP;16;1600303;Macapá;456.171;0.733;0.723;0.820;0.663
AP;16;1600402;Mazagão;19.571;0.592;0.609;0.758;0.449
AP;16;1600501;Oiapoque;24.263;0.658;0.693;0.779;0.527
AP;16;1600154;Pedra Branca do Amapari;13.988;0.626;0.628;0.779;0.502
AP;16;1600535;Porto Grande;19.669;0.640;0.610;0.777;0.554
AP;16;1600550;Pracuúba;4.531;0.614;0.539;0.790;0.544
AP;16;1600600;Santana;112.218;0.692;0.654;0.794;0.638
AP;16;1600055;Serra do Navio;4.938;0.709;0.659;0.783;0.692
AP;16;1600709;Tartarugalzinho;15.212;0.592;0.553;0.794;0.473
AP;16;1600808;Vitória do Jari;14.364;0.619;0.587;0.781;0.517
TO;17;1700251;Abreulândia;2.539;0.665;0.700;0.835;0.502
TO;17;1700301;Aguiarnópolis;6.149;0.657;0.618;0.804;0.571
TO;17;1700350;Aliança do Tocantins;5.605;0.663;0.610;0.801;0.596
TO;17;1700400;Almas;7.409;0.636;0.616;0.796;0.524
TO;17;1700707;Alvorada;8.536;0.708;0.677;0.843;0.623
TO;17;1701002;Ananás;9.848;0.671;0.621;0.804;0.605
TO;17;1701051;Angico;3.379;0.648;0.576;0.773;0.612
TO;17;1701101;Aparecida do Rio Negro;4.618;0.651;0.593;0.791;0.588
TO;17;1701309;Aragominas;5.910;0.593;0.611;0.739;0.461
TO;17;1701903;Araguacema;6.863;0.639;0.587;0.805;0.553
TO;17;1702000;Araguaçu;8.777;0.675;0.642;0.796;0.602
TO;17;1702109;Araguaína;170.183;0.752;0.727;0.821;0.712
TO;17;1702158;Araguanã;5.515;0.604;0.617;0.756;0.473
TO;17;1702208;Araguatins;34.392;0.631;0.604;0.793;0.525
TO;17;1702307;Arapoema;6.799;0.680;0.645;0.810;0.601
TO;17;1702406;Arraias;10.778;0.651;0.636;0.829;0.523
TO;17;1702554;Augustinópolis;17.627;0.670;0.614;0.793;0.619
TO;17;1702703;Aurora do Tocantins;3.682;0.677;0.676;0.804;0.570
TO;17;1702901;Axixá do Tocantins;9.706;0.627;0.595;0.733;0.566
TO;17;1703008;Babaçulândia;10.736;0.642;0.589;0.792;0.568
TO;17;1703057;Bandeirantes do Tocantins;3.420;0.638;0.570;0.797;0.571
TO;17;1703073;Barra do Ouro;4.460;0.603;0.557;0.760;0.517
TO;17;1703107;Barrolândia;5.601;0.642;0.600;0.817;0.541
TO;17;1703206;Bernardo Sayão;4.532;0.638;0.606;0.748;0.573
TO;17;1703305;Bom Jesus do Tocantins;4.477;0.660;0.621;0.833;0.555
TO;17;1703602;Brasilândia do Tocantins;2.177;0.684;0.640;0.831;0.601
TO;17;1703701;Brejinho de Nazaré;5.451;0.686;0.635;0.820;0.619
TO;17;1703800;Buriti do Tocantins;10.837;0.627;0.575;0.713;0.601
TO;17;1703826;Cachoeirinha;2.256;0.757;0.749;0.857;0.675
TO;17;1703842;Campos Lindos;9.408;0.544;0.578;0.738;0.377
TO;17;1703867;Cariri do Tocantins;4.178;0.662;0.639;0.826;0.549
TO;17;1703883;Carmolândia;2.507;0.640;0.621;0.810;0.521
TO;17;1703891;Carrasco Bonito;3.983;0.594;0.543;0.728;0.531
TO;17;1703909;Caseara;5.119;0.658;0.647;0.825;0.534
TO;17;1704105;Centenário;2.803;0.701;0.707;0.856;0.569
TO;17;1705102;Chapada da Natividade;3.363;0.620;0.590;0.814;0.497
TO;17;1704600;Chapada de Areia;1.397;0.619;0.619;0.726;0.529
TO;17;1705508;Colinas do Tocantins;33.981;0.701;0.690;0.814;0.614
TO;17;1716703;Colméia;8.522;0.671;0.645;0.816;0.574
TO;17;1705557;Combinado;4.851;0.697;0.649;0.815;0.639
TO;17;1705607;Conceição do Tocantins;4.209;0.592;0.588;0.739;0.478
TO;17;1706001;Couto Magalhães;5.424;0.605;0.574;0.760;0.508
TO;17;1706100;Cristalândia;7.386;0.673;0.663;0.805;0.570
TO;17;1706258;Crixás do Tocantins;1.680;0.644;0.603;0.798;0.555
TO;17;1706506;Darcinópolis;5.833;0.581;0.597;0.764;0.429
TO;17;1707009;Dianópolis;21.167;0.701;0.673;0.822;0.624
TO;17;1707108;Divinópolis do Tocantins;6.777;0.683;0.667;0.816;0.585
TO;17;1707207;Dois Irmãos do Tocantins;7.302;0.583;0.551;0.813;0.442
TO;17;1707306;Dueré;4.722;0.679;0.654;0.846;0.566
TO;17;1707405;Esperantina;10.506;0.605;0.579;0.769;0.497
TO;17;1707553;Fátima;3.886;0.697;0.653;0.813;0.638
TO;17;1707652;Figueirópolis;5.386;0.689;0.664;0.822;0.600
TO;17;1707702;Filadélfia;8.848;0.621;0.578;0.792;0.522
TO;17;1708205;Formoso do Araguaia;18.742;0.670;0.640;0.801;0.587
TO;17;1708254;Fortaleza do Tabocão;2.556;0.659;0.616;0.808;0.575
TO;17;1708304;Goianorte;5.135;0.621;0.598;0.805;0.497
TO;17;1709005;Goiatins;12.813;0.576;0.541;0.765;0.462
TO;17;1709302;Guaraí;25.149;0.741;0.724;0.839;0.670
TO;17;1709500;Gurupi;83.707;0.759;0.736;0.843;0.706
TO;17;1709807;Ipueiras;1.881;0.620;0.576;0.797;0.518
TO;17;1710508;Itacajá;7.411;0.612;0.585;0.798;0.491
TO;17;1710706;Itaguatins;6.035;0.616;0.572;0.799;0.511
TO;17;1710904;Itapiratins;3.732;0.601;0.611;0.796;0.446
TO;17;1711100;Itaporã do Tocantins;2.476;0.650;0.613;0.842;0.531
TO;17;1711506;Jaú do Tocantins;3.761;0.662;0.672;0.815;0.529
TO;17;1711803;Juarina;2.245;0.584;0.563;0.742;0.478
TO;17;1711902;Lagoa da Confusão;12.184;0.627;0.630;0.787;0.496
